tracking_nr,order_nr,package_nr,fk_delivery_company,return_reasons,shipped_date,delivered_date,receivables,status
5005645658,376549162,MPDS-376549162-5647,1,,2018-07-02,2018-07-04,403.17,
5005645896,375379162,MPDS-375379162-7005,1,,2018-07-02,2018-07-04,540,
5005646146,326268162,MPDS-326268162-5611,1,,2018-07-02,2018-07-04,153.17,
5005646400,323126162,323126162-5250,1,,2018-07-02,2018-07-03,800,
5005645037,357292162,MPDS-357292162-5667,1,,2018-07-02,2018-07-04,2344,
5005644971,393564162,MPDS-393564162-5151,1,,2018-07-02,2018-07-04,940,
5005645578,378734162,MPDS-378734162-3349,1,,2018-07-02,2018-07-04,99.5,
5005645579,391752162,MPDS-391752162-4856,1,,2018-07-02,2018-07-04,298.5,
5005645580,393766162,MPDS-393766162-7211,1,,2018-07-02,2018-07-04,1144,
5005646434,355198162,355198162-3111,1,,2018-07-02,2018-07-03,334.66,
5004756265,384444162,MPDS-384444162-4681,1,,2018-07-02,2018-07-03,229,
5004756266,399444162,MPDS-399444162-1141,1,,2018-07-02,2018-07-03,498,
5004756267,318444162,MPDS-318444162-4959,1,,2018-07-02,2018-07-03,249,
5004756263,324513562,MPDS-324513562-3588,1,,2018-07-02,2018-07-03,179,
5004756264,336133562,MPDS-336133562-6299,1,,2018-07-02,2018-07-03,797,
5004756261,375733562,MPDS-375733562-7439,1,,2018-07-02,2018-07-03,0,
5004756256,355633562,MPDS-355633562-1131,1,,2018-07-02,2018-07-03,249,
5004756258,395833562,MPDS-395833562-4425,1,,2018-07-02,2018-07-03,249,
5004756257,349833562,MPDS-349833562-3710,1,,2018-07-02,2018-07-03,2198.9,
5004756259,341733562,MPDS-341733562-7302,1,,2018-07-02,2018-07-03,249,
5004756255,385633562,MPDS-385633562-1966,1,,2018-07-02,2018-07-03,249,
5004756253,368433562,MPDS-368433562-5225,1,,2018-07-02,2018-07-03,279,
5004756252,391313562,MPDS-391313562-6036,1,,2018-07-02,2018-07-03,1299,
5004756254,336913562,MPDS-336913562-3119,1,,2018-07-02,2018-07-03,206.92,
5004756251,391713562,MPDS-391713562-1535,1,R 10- Quality - item incomplete,2018-07-02,2018-07-03,229,
5004756248,346913562,MPDS-346913562-9992,1,,2018-07-02,2018-07-03,560,
5004756249,347813562,MPDS-347813562-3116,1,,2018-07-02,2018-07-03,249,
5004756268,388642162,MPDS-388642162-1408,1,,2018-07-02,2018-07-03,249,
5004756250,343813562,MPDS-343813562-3878,1,,2018-07-02,2018-07-10,498,
5004756247,355642162,MPDS-355642162-6682,1,,2018-07-02,2018-07-03,229,
5004756242,359322162,MPDS-359322162-7225,1,,2018-07-02,2018-07-03,229,
5004756244,369362162,MPDS-369362162-5195,1,,2018-07-02,2018-07-04,249,
5004756245,369492162,MPDS-369492162-3799,1,,2018-07-02,2018-07-04,1299,
5004756246,375234162,MPDS-375234162-9111,1,,2018-07-02,2018-07-03,917,
5004756240,384162162,MPDS-384162162-4027,1,,2018-07-02,2018-07-03,319,
5004756238,388522162,MPDS-388522162-8074,1,,2018-07-02,2018-07-03,159,
5004756243,326362162,MPDS-326362162-8198,1,,2018-07-02,2018-07-03,747,
5004756241,386162162,MPDS-386162162-2405,1,,2018-07-02,2018-07-10,249,
5004756235,356334162,MPDS-356334162-8406,1,,2018-07-02,2018-07-03,558,
5004756239,396562162,MPDS-396562162-8943,1,,2018-07-02,2018-07-03,1099,
5004756237,341942162,MPDS-341942162-2419,1,,2018-07-02,2018-07-03,249,
5004756234,371462162,MPDS-371462162-4444,1,,2018-07-02,2018-07-03,541.76,
5004756236,322734162,MPDS-322734162-9783,1,,2018-07-02,2018-07-03,249,
5004756232,329714162,MPDS-329714162-8004,1,,2018-07-02,2018-07-03,249,
5004756233,319934162,MPDS-319934162-2296,1,,2018-07-02,2018-07-03,637,
5004756231,374242162,MPDS-374242162-4689,1,,2018-07-02,2018-07-03,249,
5004756230,393722162,MPDS-393722162-7444,1,,2018-07-02,2018-07-03,249,
5004756227,369314162,MPDS-369314162-7710,1,,2018-07-02,2018-07-03,229,
5004756228,391822162,MPDS-391822162-5382,1,,2018-07-02,2018-07-03,229,
5004756226,337914162,MPDS-337914162-4313,1,,2018-07-02,2018-07-03,249,
5004756225,366914162,MPDS-366914162-1884,1,,2018-07-02,2018-07-03,549,
5004756224,353122162,MPDS-353122162-8244,1,,2018-07-02,2018-07-03,249,
5004756222,386522162,MPDS-386522162-9815,1,,2018-07-02,2018-07-03,249,
5004756221,369922162,MPDS-369922162-6349,1,,2018-07-02,2018-07-03,229,
5004756220,357542162,MPDS-357542162-2077,1,,2018-07-02,2018-07-03,249,
5004756215,344334162,MPDS-344334162-8602,1,,2018-07-02,2018-07-03,229,
5004756217,389334162,MPDS-389334162-1901,1,,2018-07-02,2018-07-03,249,
5004756218,397842162,MPDS-397842162-1029,1,R 11- Quality - item damaged,2018-07-02,2018-07-03,858,
5004756205,384434162,MPDS-384434162-2047,1,,2018-07-02,2018-07-03,249,
5004756207,343634162,MPDS-343634162-7156,1,,2018-07-02,2018-07-03,249,
5004756211,313934162,MPDS-313934162-6502,1,,2018-07-02,2018-07-03,478,
5004756213,355534162,MPDS-355534162-3396,1,,2018-07-02,2018-07-03,249,
5004756209,334934162,MPDS-334934162-6085,1,,2018-07-02,2018-07-03,249,
5004756199,378614162,MPDS-378614162-2501,1,,2018-07-02,2018-07-03,249,
5004756203,366114162,MPDS-366114162-8690,1,,2018-07-02,2018-07-04,249,
5004756197,335554162,MPDS-335554162-7765,1,,2018-07-02,2018-07-03,249,
5004756201,375714162,MPDS-375714162-1609,1,,2018-07-02,2018-07-03,229,
5004756193,385414162,MPDS-385414162-5729,1,,2018-07-02,2018-07-03,229,
5004756190,377954162,MPDS-377954162-6305,1,,2018-07-02,2018-07-03,1236,
5004756195,356554162,MPDS-356554162-4427,1,,2018-07-02,2018-07-03,375.33,
5004756180,315374162,MPDS-315374162-3520,1,,2018-07-02,2018-07-03,229,
5004756182,353454162,MPDS-353454162-1251,1,,2018-07-02,2018-07-03,249,
5004756183,399254162,MPDS-399254162-3429,1,,2018-07-02,2018-07-03,249,
5004756187,321254162,MPDS-321254162-7879,1,,2018-07-02,2018-07-03,249,
5004756176,385174162,MPDS-385174162-9127,1,,2018-07-02,2018-07-03,159,
5004756177,347174162,MPDS-347174162-7642,1,,2018-07-02,2018-07-03,348.8,
5004756171,362174162,MPDS-362174162-5909,1,,2018-07-02,2018-07-03,980,
5004756163,313974162,MPDS-313974162-7782,1,,2018-07-02,2018-07-03,249,
5004756167,358574162,MPDS-358574162-9645,1,,2018-07-02,2018-07-03,249,
5004756161,312784162,MPDS-312784162-3499,1,,2018-07-02,2018-07-07,249,
5004756165,312574162,MPDS-312574162-2406,1,,2018-07-02,2018-07-03,560,
5004756157,392674162,MPDS-392674162-2261,1,,2018-07-02,2018-07-04,249,
5004756155,341474162,MPDS-341474162-3390,1,,2018-07-02,2018-07-03,309,
5004756160,383974162,MPDS-383974162-3926,1,,2018-07-02,2018-07-03,159,
5004756143,323684162,MPDS-323684162-2083,1,,2018-07-02,2018-07-03,249,
5004756145,331984162,MPDS-331984162-1724,1,,2018-07-02,2018-07-03,229,
5004756147,311884162,MPDS-311884162-9272,1,,2018-07-02,2018-07-03,229,
5004756149,311784162,MPDS-311784162-1589,1,,2018-07-02,2018-07-03,249,
5004756139,355284162,MPDS-355284162-4920,1,,2018-07-02,2018-07-03,249,
5004756133,352484162,MPDS-352484162-2370,1,,2018-07-02,2018-07-03,2940,
5004756135,311484162,MPDS-311484162-7252,1,,2018-07-02,2018-07-03,249,
5004756141,338684162,MPDS-338684162-7831,1,,2018-07-02,2018-07-03,229,
5004756131,385194162,MPDS-385194162-9521,1,,2018-07-02,2018-07-03,229,
5004756127,388594162,MPDS-388594162-8321,1,,2018-07-02,2018-07-03,478,
5004756115,323464162,MPDS-323464162-3816,1,,2018-07-02,2018-07-03,249,
5004756119,323494162,MPDS-323494162-4289,1,,2018-07-02,2018-07-03,249,
