tracking_nr,cod_received,chq_nr,deposit_date
5005629652,112,Direct Deposit,2018-07-21
5005629678,252,Direct Deposit,2018-07-21
5005629699,1015,Direct Deposit,2018-07-21
5005629702,255,Direct Deposit,2018-07-21
5005629713,701,Direct Deposit,2018-07-21
5005629722,707,Direct Deposit,2018-07-21
5005629748,706,Direct Deposit,2018-07-21
5005629786,417,Direct Deposit,2018-07-21
5005629826,1805,Direct Deposit,2018-07-21
5005629827,166,Direct Deposit,2018-07-21
5005629838,151,Direct Deposit,2018-07-21
5005629878,307,Direct Deposit,2018-07-21
5005629925,597,Direct Deposit,2018-07-21
5005629926,252,Direct Deposit,2018-07-21
5005629950,39,Direct Deposit,2018-07-21
5005629976,1754,Direct Deposit,2018-07-21
5005629994,106,Direct Deposit,2018-07-21
5005630014,46,Direct Deposit,2018-07-21
5005630020,1855,Direct Deposit,2018-07-21
5005630026,6,Direct Deposit,2018-07-21
5005630062,56,Direct Deposit,2018-07-21
5005630075,1116,Direct Deposit,2018-07-21
5005630082,2281,Direct Deposit,2018-07-21
5005630096,387,Direct Deposit,2018-07-21
5005630126,1207,Direct Deposit,2018-07-21
5005630198,215,Direct Deposit,2018-07-21
5005630217,158,Direct Deposit,2018-07-21
5005630218,478,Direct Deposit,2018-07-21
5005630232,6,Direct Deposit,2018-07-21
5005630249,172,Direct Deposit,2018-07-21
5005630252,272,Direct Deposit,2018-07-21
5005630271,37,Direct Deposit,2018-07-21
5005630298,355,Direct Deposit,2018-07-21
5005630326,1291,Direct Deposit,2018-07-21
5005630327,156,Direct Deposit,2018-07-21
5005630330,656,Direct Deposit,2018-07-21
5005630339,1773,Direct Deposit,2018-07-21
5005630345,106,Direct Deposit,2018-07-21
5005630348,82,Direct Deposit,2018-07-21
5005630350,456,Direct Deposit,2018-07-21
5005630352,407,Direct Deposit,2018-07-21
5005630357,5,Direct Deposit,2018-07-21
5005630365,2323,Direct Deposit,2018-07-21
5005630375,784,Direct Deposit,2018-07-21
5005630378,17,Direct Deposit,2018-07-21
5005630382,387,Direct Deposit,2018-07-21
5005630402,156,Direct Deposit,2018-07-21
5005630405,805,Direct Deposit,2018-07-21
5005630426,56,Direct Deposit,2018-07-21
5005630429,365,Direct Deposit,2018-07-21
5005630448,353,Direct Deposit,2018-07-21
5005630468,187,Direct Deposit,2018-07-21
5005630471,32,Direct Deposit,2018-07-21
5005630497,571,Direct Deposit,2018-07-21
5005630506,17,Direct Deposit,2018-07-21
5005630507,17,Direct Deposit,2018-07-21
5005630515,307,Direct Deposit,2018-07-21
5005630539,1857,Direct Deposit,2018-07-21
5005630558,248,Direct Deposit,2018-07-21
5005630607,456,Direct Deposit,2018-07-21
5005630621,133,Direct Deposit,2018-07-21
5005630645,255,Direct Deposit,2018-07-21
5005630652,610,Direct Deposit,2018-07-21
5005630668,32,Direct Deposit,2018-07-21
5005630711,122,Direct Deposit,2018-07-21
5005630713,307,Direct Deposit,2018-07-21
5005630730,556,Direct Deposit,2018-07-21
5005630734,255,Direct Deposit,2018-07-21
5005630737,56,Direct Deposit,2018-07-21
5005630743,556,Direct Deposit,2018-07-21
5005630747,557,Direct Deposit,2018-07-21
5005630751,277,Direct Deposit,2018-07-21
5005630775,332,Direct Deposit,2018-07-21
5005630821,356,Direct Deposit,2018-07-21
5005630824,356,Direct Deposit,2018-07-21
5005630860,57,Direct Deposit,2018-07-21
5005630954,371,Direct Deposit,2018-07-21
5005631007,55,Direct Deposit,2018-07-21
5005631056,57,Direct Deposit,2018-07-21
5005631069,556,Direct Deposit,2018-07-21
5005631086,611,Direct Deposit,2018-07-21
5005631092,55,Direct Deposit,2018-07-21
5005631094,305,Direct Deposit,2018-07-21
5005631098,2555,Direct Deposit,2018-07-21
5005631102,117,Direct Deposit,2018-07-21
5005631129,857,Direct Deposit,2018-07-21
5005631137,207,Direct Deposit,2018-07-21
5005631198,397,Direct Deposit,2018-07-21
5005631213,403,Direct Deposit,2018-07-21
5005631228,212,Direct Deposit,2018-07-21
5005631251,116,Direct Deposit,2018-07-21
5005631256,86,Direct Deposit,2018-07-21
5005631266,1237,Direct Deposit,2018-07-21
5005631280,16,Direct Deposit,2018-07-21
5005631323,738,Direct Deposit,2018-07-21
5005631393,95,Direct Deposit,2018-07-21
5005631396,1105,Direct Deposit,2018-07-21
5005631406,292,Direct Deposit,2018-07-21
5005631421,177,Direct Deposit,2018-07-21
5005631435,245,Direct Deposit,2018-07-21
5005631450,102,Direct Deposit,2018-07-21
5005631462,2817,Direct Deposit,2018-07-21
5005631468,256,Direct Deposit,2018-07-21
5005631472,52,Direct Deposit,2018-07-21
5005631476,52,Direct Deposit,2018-07-21
5005631532,76,Direct Deposit,2018-07-21
5005631535,255,Direct Deposit,2018-07-21
5005631536,56,Direct Deposit,2018-07-21
5005631538,856,Direct Deposit,2018-07-21
5005631553,1097,Direct Deposit,2018-07-21
5005631581,67,Direct Deposit,2018-07-21
5005631615,172,Direct Deposit,2018-07-21
5005631653,308,Direct Deposit,2018-07-21
5005631657,17,Direct Deposit,2018-07-21
5005631684,857,Direct Deposit,2018-07-21
5005631766,154,Direct Deposit,2018-07-21
5005631776,342,Direct Deposit,2018-07-21
5005631789,605,Direct Deposit,2018-07-21
5005631791,2147,Direct Deposit,2018-07-21
5005631798,1266,Direct Deposit,2018-07-21
5005631838,355,Direct Deposit,2018-07-21
5005631839,167,Direct Deposit,2018-07-21
5005631850,55,Direct Deposit,2018-07-21
5005631864,97,Direct Deposit,2018-07-21
5005631867,1614,Direct Deposit,2018-07-21
5005631892,184,Direct Deposit,2018-07-21
5005631916,1326,Direct Deposit,2018-07-21
5005631917,2556,Direct Deposit,2018-07-21
5005631919,586,Direct Deposit,2018-07-21
5005631925,580,Direct Deposit,2018-07-21
5005631946,2056,Direct Deposit,2018-07-21
5005631958,712,Direct Deposit,2018-07-21
